ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
0,97.22,query_cuda_kernel_arch,..query_cuda_kernel_arch..,0.00,0.00,0.00,0.69,16,"    1,    1,    1","    1,    1,    1",Kernel: SIMT
1,34.90,init_lock_arrays_cuda_kernel,..init_lock_arrays_cuda_kernel..,0.04,0.01,0.47,1.73,16,"  512,    1,    1","  256,    1,    1",Kernel: SIMT
2,79.15,cuda_parallel_launch_local_memory,..MDRangePolicy..Rank..,1.55,1.23,42.60,89.59,22,"  256, 2048,    1","   16,    2,    1",Kernel: SIMT
3,55.66,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.01,0.00,0.49,61.12,26,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
4,87.61,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.00,0.00,1.02,1.51,24,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
5,89.36,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.00,0.00,1.16,7.08,22,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
6,87.99,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.00,0.00,0.99,0.99,26,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
7,17.11,cuda_parallel_launch_local_memory,..MDRangePolicy..Rank..,3.16,0.54,13.13,88.96,45,"  128, 1024,    1","   32,    4,    1",Kernel: SIMT
8,67.06,cuda_parallel_launch_local_memory,..run_mpi_tiles..RangePolicy..,0.04,0.03,1.84,35.70,44,"  128,    1,    1","    1,  128,    1",Kernel: SIMT
9,66.75,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.01,0.01,0.51,77.00,26,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
10,89.12,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.00,0.00,1.78,1.78,24,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
11,88.43,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.00,0.00,1.16,8.11,22,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
12,87.70,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.00,0.00,0.98,1.44,26,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
13,50.35,cuda_parallel_launch_local_memory,..FunctorPatternInterface..,2.90,1.46,8.96,49.65,32,"  256,    1,    1","    1,  256,    1",Kernel: SIMT
14,63.61,cuda_parallel_launch_local_memory,..FunctorPatternInterface..,4.17,2.65,12.37,36.39,34,"  256,    1,    1","    1,  256,    1",Kernel: SIMT
15,17.58,cuda_parallel_launch_local_memory,..MDRangePolicy..Rank..,3.11,0.55,13.20,89.23,45,"  128, 1024,    1","   32,    4,    1",Kernel: SIMT
16,75.07,cuda_parallel_launch_local_memory,..run_mpi_tiles..RangePolicy..,0.05,0.03,2.10,34.24,44,"  128,    1,    1","    1,  128,    1",Kernel: SIMT
17,62.76,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.01,0.01,0.53,55.76,26,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
18,87.69,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.00,0.00,0.99,2.41,24,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
19,87.22,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.01,0.00,1.14,9.85,22,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
20,87.79,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.00,0.00,0.98,0.98,26,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
21,17.35,cuda_parallel_launch_local_memory,..MDRangePolicy..Rank..,3.16,0.55,13.09,89.23,45,"  128, 1024,    1","   32,    4,    1",Kernel: SIMT
22,60.97,cuda_parallel_launch_local_memory,..run_mpi_tiles..RangePolicy..,0.06,0.03,1.80,39.03,44,"  128,    1,    1","    1,  128,    1",Kernel: SIMT
23,59.85,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.01,0.01,0.50,68.98,26,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
24,87.66,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.00,0.00,1.00,1.73,24,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
25,89.34,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.00,0.00,1.15,8.23,22,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
26,88.22,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.00,0.00,1.01,1.01,26,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
27,17.02,cuda_parallel_launch_local_memory,..MDRangePolicy..Rank..,3.15,0.54,13.12,89.00,45,"  128, 1024,    1","   32,    4,    1",Kernel: SIMT
28,65.24,cuda_parallel_launch_local_memory,..run_mpi_tiles..RangePolicy..,0.05,0.03,1.85,34.76,44,"  128,    1,    1","    1,  128,    1",Kernel: SIMT
29,55.25,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.01,0.00,0.49,62.26,26,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
30,87.89,cuda_parallel_launch_local_memory,..exchange_halos_tiles_x_pass..,0.00,0.00,0.98,0.98,24,"   32,    1,    1","    1,  128,    1",Kernel: SIMT
31,87.90,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.00,0.00,1.51,7.00,22,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
32,87.94,cuda_parallel_launch_local_memory,..exchange_halos_tiles_y_pass..,0.00,0.00,0.99,1.46,26,"   33,    1,    1","    1,  128,    1",Kernel: SIMT
33,17.33,cuda_parallel_launch_local_memory,..MDRangePolicy..Rank..,3.11,0.54,13.09,89.28,45,"  128, 1024,    1","   32,    4,    1",Kernel: SIMT
